gene	gene_name	uniprot	druggability_score	hit_in_deg	human_offtarget	gut_microbiome_offtarget	betweenness_centrality
MPN_RS02025	rpmE	P78020	0.053	True	no_hit	0.037	0.0
MPN_RS02030	prfA	P75420	0.214	True	60.656	1.0	0.0
MPN_RS02035	MPN_RS02035	P75419	0.759	True	25.974	no_hit	0.0
MPN_RS02045	MPN_RS02045	P75416	0.878	True	no_hit	0.042	0.0
MPN_RS02065	MPN_RS02065	P75413	0.596	False	no_hit	no_hit	0.0
MPN_RS02070	MPN_RS02070	P75412	0.672	False	no_hit	no_hit	0.0
MPN_RS02090	MPN_RS02090	P75409	0.941	False	no_hit	no_hit	0.0
MPN_RS02095	MPN_RS02095			False	no_hit	no_hit	0.0
MPN_RS02100	MPN_RS02100			False	no_hit	no_hit	0.0
MPN_RS02105	MPN_RS02105	P75407	0.814	False	no_hit	no_hit	0.0
MPN_RS02110	MPN_RS02110	P75406	0.669	False	no_hit	no_hit	0.0
MPN_RS02115	MPN_RS02115	P75405	0.799	False	no_hit	no_hit	0.0
MPN_RS02125	MPN_RS02125	Q9EXD3	0.208	False	no_hit	no_hit	0.0
MPN_RS02130	MPN_RS02130	P75404	0.824	True	no_hit	0.009	0.0
MPN_RS02135	MPN_RS02135	P75403	0.214	True	no_hit	0.019	0.0
MPN_RS02140	mutM	P75402	0.684	True	no_hit	0.056	0.0
MPN_RS02145	MPN_RS02145	P75401	0.587	True	no_hit	no_hit	0.0
MPN_RS02150	coaE	P75400	0.767	False	25.676	no_hit	0.0243894900387831
MPN_RS02155	MPN_RS02155	P75399	0.532	True	no_hit	0.001	0.0
MPN_RS02160	leuS	P75398	0.596	True	50.0	0.292	0.0
MPN_RS02165	MPN_RS02165	P75397	0.696	True	no_hit	no_hit	0.0
MPN_RS02170	MPN_RS02170	P75396	0.664	False	no_hit	0.001	0.0
MPN_RS02180	MPN_RS02180	P75395	0.872	False	no_hit	no_hit	0.0
MPN_RS02185	MPN_RS02185	Q9EXD4	0.309	False	no_hit	no_hit	0.0
MPN_RS02190	MPN_RS02190	P75394	0.498	True	41.837	0.016	0.0
MPN_RS02195	lpdA	P75393	0.72	True	45.588	0.009	0.5357161423477993
MPN_RS02200	MPN_RS02200	P75392	0.772	True	36.0	0.002	0.0
MPN_RS02205	pdhB	P75391	0.507	True	40.789	0.2	0.0565784010811289
MPN_RS02210	pdhA	P75390	0.623	True	29.603	0.003	0.0565784010811289
MPN_RS02215	MPN_RS02215	P75389	0.704	True	24.915	0.007	0.0
MPN_RS02220	apt	P75388	0.737	True	39.286	0.304	0.0159087049384175
MPN_RS02225	MPN_RS02225	P75387	0.864	True	no_hit	no_hit	0.0
MPN_RS02230	MPN_RS02230	P75386	0.817	True	28.467	0.012	0.0
MPN_RS02235	MPN_RS02235	P75385	0.85	False	no_hit	no_hit	0.0
MPN_RS02240	MPN_RS02240	P75384	0.697	False	no_hit	no_hit	0.0
MPN_RS02245	MPN_RS02245	P75383	0.891	False	no_hit	no_hit	0.0
MPN_RS02275	greA	P78019	0.534	True	no_hit	0.85	0.0
MPN_RS03915	MPN_RS03915			False	no_hit	no_hit	0.0
MPN_RS02280	proS	P75382	0.658	True	27.803	no_hit	0.0
MPN_RS02285	MPN_RS02285	P75381	0.398	False	no_hit	no_hit	0.0
MPN_RS02290	MPN_RS02290	P75380	0.494	False	no_hit	no_hit	0.0
MPN_RS02295	MPN_RS02295	P75379	0.783	False	no_hit	no_hit	0.0
MPN_RS02300	MPN_RS02300	P75378	0.846	True	no_hit	no_hit	0.0
MPN_RS02310	MPN_RS02310	P75377	0.648	False	no_hit	no_hit	0.0
MPN_RS02315	MPN_RS02315	P75376	0.535	False	no_hit	no_hit	0.0
MPN_RS04250	MPN_RS04250	P75375	0.875	False	no_hit	no_hit	0.0
MPN_RS02325	MPN_RS02325			False	no_hit	no_hit	0.0
MPN_RS02330	MPN_RS02330	P75374	0.736	False	no_hit	no_hit	0.0
MPN_RS02335	MPN_RS02335	P75373	0.829	False	no_hit	no_hit	0.0
MPN_RS02345	MPN_RS02345	Q9EXD6	0.329	False	no_hit	no_hit	0.0
MPN_RS02355	MPN_RS02355	P75372	0.828	True	no_hit	no_hit	0.0
MPN_RS02360	MPN_RS02360	P75371	0.632	False	no_hit	no_hit	0.0
MPN_RS02365	MPN_RS02365	P75370	0.772	True	32.558	no_hit	0.0
MPN_RS02370	MPN_RS02370	P75369	0.865	True	no_hit	no_hit	0.0
MPN_RS02375	ruvX	P57114	0.773	True	no_hit	no_hit	0.0
MPN_RS02380	alaS	P75368	0.527	True	36.496	0.006	0.0
MPN_RS02385	glpQ	P75367	0.111	True	46.154	0.052	0.0
MPN_RS02390	MPN_RS02390	P75366	0.684	True	no_hit	no_hit	0.0
MPN_RS02395	mnmA	P75365	0.535	True	35.556	0.321	0.1980592311570946
MPN_RS02400	MPN_RS02400	P75364	0.864	True	no_hit	no_hit	0.0
MPN_RS02405	MPN_RS02405	P75363	0.177	False	no_hit	0.036	0.0
MPN_RS02410	ftsY	P75362	0.813	True	31.22	0.845	0.0
MPN_RS02415	MPN_RS02415	P75361	0.361	True	52.0	0.002	0.0
MPN_RS02420	MPN_RS02420	P75360	0.605	False	no_hit	no_hit	0.0
MPN_RS02425	pta	P75359	0.786	True	no_hit	0.258	0.0829418579909243
MPN_RS02430	pgk	P78018	0.469	True	38.889	0.999	0.058770774283269
MPN_RS02435	gap	P75358	0.554	True	44.574	1.0	0.0
MPN_RS02440	MPN_RS02440	P75357	0.932	True	no_hit	no_hit	0.0
MPN_RS02445	MPN_RS02445	P75356	0.777	True	29.515	no_hit	0.0
MPN_RS02450	MPN_RS02450	P75355	0.598	True	32.203	no_hit	0.0
MPN_RS02455	dnaK	P75344	0.483	True	60.274	1.0	0.0
MPN_RS02460	MPN_RS02460	P75343	0.557	True	no_hit	no_hit	0.0
MPN_RS02465	MPN_RS02465	P75342	0.62	True	no_hit	no_hit	0.0
MPN_RS02485	MPN_RS02485	P75338	0.703	True	no_hit	no_hit	0.0
MPN_RS02490	MPN_RS02490			True	no_hit	no_hit	0.0
MPN_RS02495	MPN_RS02495	P75336	0.753	True	no_hit	no_hit	0.0
MPN_RS02500	MPN_RS02500	P75335	0.682	True	32.0	no_hit	0.0
MPN_RS02505	MPN_RS02505	P75334	0.729	True	no_hit	no_hit	0.0
MPN_RS02510	MPN_RS02510	P75333	0.799	True	no_hit	no_hit	0.0
MPN_RS02515	rpsD	P46775		True	no_hit	0.313	0.0
MPN_RS02520	hmw1	Q50365	0.751	False	no_hit	no_hit	0.0
MPN_RS02525	MPN_RS02525	Q50364	0.859	True	no_hit	0.001	0.0
MPN_RS02530	MPN_RS02530	Q50363	0.886	True	no_hit	no_hit	0.0
MPN_RS02535	MPN_RS02535	Q50362	0.562	True	no_hit	no_hit	0.0
MPN_RS02540	MPN_RS02540	Q50361	0.902	False	no_hit	no_hit	0.0
MPN_RS02545	hmw3	Q50360	0.661	True	no_hit	no_hit	0.0
MPN_RS02550	MPN_RS02550	P75330	0.435	True	no_hit	0.018	0.0
MPN_RS02555	MPN_RS02555	P75329	0.732	True	no_hit	no_hit	0.0
MPN_RS02560	MPN_RS02560	P75328	0.763	True	no_hit	no_hit	0.0
MPN_RS02575	MPN_RS02575	P75327	0.612	True	no_hit	no_hit	0.0
MPN_RS02625	MPN_RS02625	P75323	0.802	True	no_hit	no_hit	0.0
MPN_RS02630	MPN_RS02630	P75322	0.584	True	no_hit	0.001	0.0
MPN_RS02640	MPN_RS02640	P75320	0.653	False	no_hit	no_hit	0.0
MPN_RS02645	MPN_RS02645	P75319	0.663	True	no_hit	no_hit	0.0
MPN_RS02650	MPN_RS02650			False	no_hit	no_hit	0.0
MPN_RS02660	MPN_RS02660			False	no_hit	no_hit	0.0
MPN_RS02680	MPN_RS02680	P75314	0.803	True	no_hit	no_hit	0.0
MPN_RS02685	MPN_RS02685	P75313	0.581	True	32.749	0.016	0.0
MPN_RS02690	rpmG	P78015	0.053	True	no_hit	0.202	0.0
MPN_RS02695	MPN_RS02695	P75312	0.667	True	no_hit	no_hit	0.0
MPN_RS02700	MPN_RS02700	P75311	0.515	True	29.661	no_hit	0.0
MPN_RS02705	MPN_RS02705	P75310	0.799	False	no_hit	no_hit	0.0
MPN_RS02710	MPN_RS02710			False	no_hit	no_hit	0.0
MPN_RS02715	der	P75309	0.755	True	38.71	0.701	0.0007283910299476
MPN_RS02720	cmk	P75308	0.21	True	no_hit	0.252	0.2918465507052586
MPN_RS02725	MPN_RS02725	P75307	0.886	True	no_hit	no_hit	0.0
MPN_RS02730	MPN_RS02730	P75306	0.684	True	no_hit	0.002	0.0
MPN_RS02735	MPN_RS02735	P75305	0.903	True	no_hit	0.001	0.0051085881057701
MPN_RS02740	valS	P75304	0.601	True	39.691	0.007	0.0
MPN_RS02745	yihA	P75303	0.466	True	32.432	0.447	0.0
MPN_RS02750	MPN_RS02750	Q9EXD7	0.243	True	no_hit	0.135	0.0
MPN_RS02755	yibD	P75302	0.844	True	27.723	no_hit	0.0
MPN_RS02760	MPN_RS02760			False	no_hit	no_hit	0.0
MPN_RS02765	MPN_RS02765	P75301	0.099	False	no_hit	no_hit	0.0
MPN_RS02770	MPN_RS02770	P75300	0.92	False	no_hit	no_hit	0.0
MPN_RS02775	MPN_RS02775	P75298	0.667	True	29.839	no_hit	0.4686943941468108
MPN_RS02780	MPN_RS02780	P75297	0.857	True	no_hit	0.002	0.0
MPN_RS02785	MPN_RS02785			True	no_hit	no_hit	0.0
MPN_RS02790	MPN_RS02790	P75296	0.777	True	no_hit	no_hit	0.0
MPN_RS02795	recA	P78014	0.628	True	28.636	1.0	0.0
MPN_RS02800	MPN_RS02800	P75295	0.847	False	no_hit	no_hit	0.0
MPN_RS02805	MPN_RS02805	P75294	0.778	False	no_hit	0.093	0.0021073794660961
MPN_RS02810	MPN_RS02810	P75293	0.532	False	no_hit	0.078	0.052365669789152
MPN_RS02815	MPN_RS02815	P75292	0.625	False	no_hit	0.01	0.0
MPN_RS02820	MPN_RS02820	Q9EXD8	0.253	False	no_hit	0.011	0.0
MPN_RS02825	MPN_RS02825	P75291	0.937	False	no_hit	no_hit	0.0
MPN_RS02835	MPN_RS02835	P75289	0.689	False	no_hit	0.932	0.0262099343279524
MPN_RS02840	MPN_RS02840	P75288	0.498	False	no_hit	no_hit	0.0
MPN_RS02850	MPN_RS02850			False	no_hit	no_hit	0.0
MPN_RS02855	MPN_RS02855	P75286	0.355	False	no_hit	no_hit	0.0
MPN_RS04355	MPN_RS04355			False	no_hit	no_hit	0.0
MPN_RS04360	MPN_RS04360	P75372	0.828	True	no_hit	no_hit	0.0
MPN_RS02880	MPN_RS02880	P75282	0.537	False	no_hit	no_hit	0.0
MPN_RS02885	MPN_RS02885	P75281	0.211	False	no_hit	no_hit	0.0
MPN_RS02890	MPN_RS02890			False	no_hit	no_hit	0.0
MPN_RS02895	MPN_RS02895	P75280	0.73	True	no_hit	no_hit	0.0
MPN_RS02900	MPN_RS02900	P75279	0.758	True	no_hit	0.082	0.0
MPN_RS02905	MPN_RS02905	P75278	0.887	False	no_hit	no_hit	0.0
MPN_RS02910	MPN_RS02910	P75277	0.883	False	no_hit	no_hit	0.0
MPN_RS02915	MPN_RS02915	P75276	0.946	False	no_hit	no_hit	0.0
MPN_RS03930	MPN_RS03930	P75275	0.905	False	no_hit	no_hit	0.0
MPN_RS03935	MPN_RS03935	P75274	0.099	False	no_hit	no_hit	0.0
MPN_RS02925	MPN_RS02925	P75273	0.781	False	no_hit	no_hit	0.0
MPN_RS02930	MPN_RS02930			False	no_hit	no_hit	0.0
MPN_RS02940	MPN_RS02940	P75272	0.833	False	no_hit	no_hit	0.0
MPN_RS02945	rpoC	P75271	0.62	True	34.532	1.0	0.0
MPN_RS02950	MPN_RS02950	P78013	0.673	True	30.544	0.956	0.0
MPN_RS02955	MPN_RS02955	P75270	0.848	True	no_hit	no_hit	0.0
MPN_RS02960	MPN_RS02960			False	no_hit	no_hit	0.0
MPN_RS02965	MPN_RS02965			False	no_hit	no_hit	0.0
MPN_RS02970	MPN_RS02970	P75269	0.784	False	no_hit	no_hit	0.0
MPN_RS02975	MPN_RS02975	P75268	0.833	True	no_hit	no_hit	0.0
MPN_RS02980	ileS	P75258	0.587	True	35.889	0.057	0.0
MPN_RS02985	trmL	P75257	0.706	True	no_hit	0.49	0.0
MPN_RS02990	trmB	P75256	0.646	True	25.197	0.16	0.0
MPN_RS03000	MPN_RS03000	P75255	0.727	True	no_hit	no_hit	0.0
MPN_RS03015	MPN_RS03015	P75254	0.021	False	no_hit	0.125	0.0
MPN_RS03020	MPN_RS03020	P75253	0.427	True	no_hit	no_hit	0.0
MPN_RS03025	MPN_RS03025	P75252	0.723	True	no_hit	no_hit	0.0
MPN_RS03035	MPN_RS03035	P75251	0.545	True	no_hit	no_hit	0.0
MPN_RS03040	MPN_RS03040	P75250	0.468	True	25.625	0.119	0.0
MPN_RS03050	MPN_RS03050	P75249	0.278	True	no_hit	no_hit	0.0
MPN_RS03055	MPN_RS03055	P75248	0.406	True	no_hit	no_hit	0.0
MPN_RS03060	clpB	P75247	0.778	True	38.494	1.0	0.0
MPN_RS03065	MPN_RS03065	P75246	0.796	True	no_hit	no_hit	0.0
MPN_RS03070	MPN_RS03070	P75245	0.895	True	no_hit	0.961	0.0284065825157591
MPN_RS03075	MPN_RS03075			False	no_hit	no_hit	0.0
MPN_RS03080	MPN_RS03080	P75244	0.752	False	no_hit	no_hit	0.0
MPN_RS03085	ruvA	P75243	0.675	False	no_hit	no_hit	0.0
MPN_RS03090	ruvB	P75242	0.776	False	30.952	0.002	0.0
MPN_RS03095	MPN_RS03095	P75241	0.835	False	36.975	0.001	0.0
MPN_RS03100	rplJ	P75240	0.053	True	no_hit	no_hit	0.0
MPN_RS03105	rplL	P75239	0.651	True	no_hit	0.749	0.0
MPN_RS03110	rpmF	P75238	0.053	True	no_hit	0.289	0.0
MPN_RS03115	rpsT	P75237		True	no_hit	0.012	0.0
MPN_RS03120	MPN_RS03120	P75236	0.594	True	no_hit	no_hit	0.0
MPN_RS03125	fmt	P75235	0.794	True	27.536	no_hit	0.0
MPN_RS03130	MPN_RS03130	P75234	0.687	True	no_hit	no_hit	0.0
MPN_RS03135	rnc	P75233	0.666	False	37.179	0.03	0.0
MPN_RS03140	plsX	P75232	0.719	True	no_hit	0.002	0.0
MPN_RS03145	MPN_RS03145	P75231	0.672	True	no_hit	no_hit	0.0
MPN_RS03150	MPN_RS03150	P75230	0.871	False	25.962	no_hit	0.0
MPN_RS03155	MPN_RS03155	P75229	0.673	True	no_hit	no_hit	0.0
MPN_RS03160	thiI	P75228	0.807	True	no_hit	0.001	0.0
MPN_RS03165	MPN_RS03165	P75227	0.738	True	no_hit	0.002	0.0
MPN_RS03170	MPN_RS03170	P75226	0.832	True	no_hit	no_hit	0.0
MPN_RS03175	thrS	P75225	0.344	True	37.59	0.035	0.0
MPN_RS03180	MPN_RS03180	P75224	0.4	True	no_hit	no_hit	0.0
MPN_RS03185	MPN_RS03185	P75223	0.631	True	no_hit	0.001	0.0
MPN_RS03190	argS	P75222	0.455	True	28.467	no_hit	0.0
MPN_RS03195	mnmG	P75221	0.774	True	46.667	0.938	0.7640283002812691
MPN_RS03200	rsmG	P75220	0.716	False	no_hit	no_hit	0.0
MPN_RS03205	MPN_RS03205	P75219	0.785	True	no_hit	no_hit	0.0
MPN_RS03215	MPN_RS03215	P75218	0.464	False	no_hit	no_hit	0.0
MPN_RS03220	udk	P75217	0.529	True	38.35	0.241	0.2278194327438658
MPN_RS03225	nadE	P75216	0.71	True	27.778	0.034	0.2595611109530465
MPN_RS03230	obgE	P75215	0.776	True	41.935	0.154	0.0007283910299476
MPN_RS03235	MPN_RS03235	P75214	0.465	False	49.231	0.203	0.0
MPN_RS03240	MPN_RS03240	P75213	0.964	True	no_hit	no_hit	0.0
MPN_RS03245	MPN_RS03245	P75212	0.693	False	30.0	0.031	0.0
MPN_RS03250	MPN_RS03250	P75211	0.738	True	no_hit	no_hit	0.0
MPN_RS03255	era	P75210	0.533	True	22.222	no_hit	0.0007283910299476
MPN_RS03260	ybeY	P75209	0.595	True	no_hit	no_hit	0.0
MPN_RS03265	MPN_RS03265	P75208	0.741	True	no_hit	no_hit	0.0
MPN_RS03270	MPN_RS03270	P75207	0.637	False	25.556	no_hit	0.0
MPN_RS03275	MPN_RS03275	P75206	0.819	True	39.117	0.189	0.0
MPN_RS03280	groL	P78012	0.263	True	51.813	1.0	0.0
MPN_RS03285	groES	P75205	0.537	True	no_hit	no_hit	0.0
MPN_RS03290	MPN_RS03290	P75204	0.752	False	no_hit	no_hit	0.0
MPN_RS03295	glyA	P78011	0.564	True	55.285	1.0	0.0346838177992431
MPN_RS03300	MPN_RS03300	P75203	0.575	False	no_hit	no_hit	0.0
MPN_RS03310	MPN_RS03310	P75201	0.925	False	no_hit	no_hit	0.0
MPN_RS03315	MPN_RS03315	P75200	0.674	True	no_hit	no_hit	0.0
MPN_RS03320	MPN_RS03320	P75199	0.926	True	no_hit	no_hit	0.0
MPN_RS03325	MPN_RS03325	P75198	0.704	False	no_hit	no_hit	0.0
MPN_RS04280	MPN_RS04280			True	no_hit	no_hit	0.0
MPN_RS03340	MPN_RS03340	P75196	0.174	False	no_hit	no_hit	0.0
MPN_RS03345	MPN_RS03345	P75195	0.655	True	no_hit	no_hit	0.0
MPN_RS04035	MPN_RS04035	P75194	0.831	True	no_hit	no_hit	0.0
MPN_RS04285	MPN_RS04285	P75193	0.719	True	no_hit	no_hit	0.0
MPN_RS03360	MPN_RS03360	Q50339	0.699	True	no_hit	no_hit	0.0
MPN_RS03365	MPN_RS03365	Q50338	0.774	False	no_hit	no_hit	0.0
MPN_RS03370	MPN_RS03370	Q50337	0.807	True	no_hit	no_hit	0.0
MPN_RS03375	MPN_RS03375	Q50336	0.813	False	no_hit	no_hit	0.0
MPN_RS03380	MPN_RS03380	Q50335	0.928	True	no_hit	no_hit	0.0
MPN_RS03385	MPN_RS03385	Q50334	0.595	False	no_hit	no_hit	0.0
MPN_RS03390	MPN_RS03390	P75191	0.921	False	no_hit	no_hit	0.0
MPN_RS03395	rpiB	P53527	0.203	True	no_hit	0.9	0.004316154081023
MPN_RS03400	MPN_RS03400	Q50333	0.589	False	no_hit	no_hit	0.0
MPN_RS03405	MPN_RS03405	Q50332	0.571	False	no_hit	no_hit	0.0
MPN_RS03410	atpD	Q50331	0.696	True	80.357	1.0	0.0
MPN_RS03415	atpG	Q50330	0.88	True	24.476	no_hit	0.0
MPN_RS03420	atpA	Q50329	0.32	True	55.263	1.0	0.0
MPN_RS03425	atpH	Q50328	0.5	True	no_hit	no_hit	0.0
MPN_RS03430	atpF	Q50327	0.828	True	no_hit	no_hit	0.0
MPN_RS03435	MPN_RS03435	Q59550	0.844	True	35.0	0.364	0.0
MPN_RS03440	MPN_RS03440	Q50326	0.964	True	no_hit	no_hit	0.0
MPN_RS03445	MPN_RS03445	Q50325	0.92	True	no_hit	no_hit	0.0
MPN_RS03450	eno	P75189	0.716	True	57.377	1.0	0.0491436877777231
MPN_RS03455	msrA	P75188	0.859	False	51.22	0.821	0.0
MPN_RS03460	phoU	P75187	0.721	True	no_hit	no_hit	0.0
MPN_RS03465	pstB	P75186	0.631	True	44.898	1.0	0.0
MPN_RS03470	pstA	P75185	0.641	False	no_hit	no_hit	0.0
MPN_RS03475	MPN_RS03475	P75184	0.621	False	no_hit	no_hit	0.0
MPN_RS04290	MPN_RS04290			False	no_hit	no_hit	0.0
MPN_RS04010	MPN_RS04010	P75183	0.286	False	no_hit	no_hit	0.0
MPN_RS03490	MPN_RS03490	P75182	0.943	False	no_hit	no_hit	0.0
MPN_RS03495	MPN_RS03495	P75181	0.855	False	no_hit	no_hit	0.0
MPN_RS03500	MPN_RS03500	P75180	0.436	True	no_hit	0.158	0.0
MPN_RS03505	rpsI	P75179		True	39.37	1.0	0.0
MPN_RS03510	rplM	P75178	0.053	True	31.068	0.986	0.0
MPN_RS03515	dnaX	P75177	0.922	True	29.05	0.953	0.0
MPN_RS03520	uvrA	P75176	0.658	True	no_hit	1.0	0.0
MPN_RS03525	MPN_RS03525	P75175	0.846	True	no_hit	no_hit	0.0
MPN_RS03530	MPN_RS03530	P75174	0.494	True	no_hit	0.001	0.0
MPN_RS03535	rpsO	P75173		True	no_hit	0.998	0.0
MPN_RS03540	MPN_RS03540	P75172	0.654	True	38.667	no_hit	0.0
MPN_RS03545	rpmB	P75171	0.053	True	no_hit	0.104	0.0
MPN_RS03550	MPN_RS03550	P75170	0.664	True	no_hit	no_hit	0.0
MPN_RS03555	MPN_RS03555	P75169	0.92	False	no_hit	no_hit	0.0
MPN_RS03560	ptsP	P75168	0.508	True	no_hit	0.462	0.0
MPN_RS03565	gpmI	P75167	0.819	True	no_hit	1.0	0.0021654315951977
MPN_RS03570	tpiA	P78010	0.532	True	39.796	0.326	0.105534870367274
MPN_RS03575	MPN_RS03575	P75166	0.59	True	no_hit	no_hit	0.0
MPN_RS03580	tsf	P78009	0.622	True	37.255	0.032	0.0
MPN_RS03585	pyrH	P75165	0.593	True	no_hit	0.009	0.2918465507052586
MPN_RS04190	MPN_RS04190	P75164	0.547	False	no_hit	0.01	0.0
MPN_RS04195	MPN_RS04195	P75163	0.82	False	no_hit	no_hit	0.0
MPN_RS04045	MPN_RS04045	P75162	0.827	False	no_hit	no_hit	0.0
MPN_RS03600	frr	P75161	0.04	True	24.096	0.006	0.0
MPN_RS03605	MPN_RS03605	P75160	0.744	True	34.483	0.001	0.0170160442752159
MPN_RS03610	MPN_RS03610	P75159	0.5	False	no_hit	0.001	0.0
MPN_RS03615	MPN_RS03615	P75158	0.933	False	no_hit	no_hit	0.0
MPN_RS03620	MPN_RS03620	P75157	0.856	True	no_hit	no_hit	0.0
MPN_RS03625	MPN_RS03625	P75156	0.417	True	no_hit	no_hit	0.0
MPN_RS03630	MPN_RS03630	P75155	0.665	True	no_hit	no_hit	0.0
MPN_RS03635	MPN_RS03635	P75154	0.559	True	no_hit	no_hit	0.0
MPN_RS03640	MPN_RS03640	P75153	0.553	True	no_hit	no_hit	0.0
MPN_RS03645	MPN_RS03645	P75152	0.186	True	no_hit	no_hit	0.0
MPN_RS03650	MPN_RS03650	P75151	0.737	True	no_hit	no_hit	0.0
MPN_RS03655	MPN_RS03655	P75150	0.918	True	no_hit	no_hit	0.0
MPN_RS03660	MPN_RS03660	P75149	0.663	False	no_hit	no_hit	0.0
MPN_RS03665	MPN_RS03665	P75148	0.842	False	no_hit	no_hit	0.0
MPN_RS03670	MPN_RS03670	P75147	0.823	False	no_hit	no_hit	0.0
MPN_RS03675	MPN_RS03675			False	no_hit	no_hit	0.0
MPN_RS04200	MPN_RS04200	P75146		True	no_hit	0.416	0.0
MPN_RS03680	MPN_RS03680	P75146		False	no_hit	0.087	0.0
MPN_RS03685	MPN_RS03685	P78008	0.557	False	no_hit	no_hit	0.1534726051657332
MPN_RS03690	MPN_RS03690	P75145	0.838	False	no_hit	no_hit	0.0
MPN_RS04205	MPN_RS04205	P75137	0.846	False	no_hit	no_hit	0.0
MPN_RS04365	MPN_RS04365	P75136	0.456	False	no_hit	0.004	0.0
MPN_RS03705	MPN_RS03705			False	no_hit	no_hit	0.0
MPN_RS03710	ylqF	P75135	0.718	True	41.27	no_hit	0.0
MPN_RS03715	MPN_RS03715	P75134	0.863	True	no_hit	no_hit	0.0
MPN_RS03720	rplS	P75133	0.053	True	30.303	0.998	0.0
MPN_RS03725	trmD	P75132	0.788	True	no_hit	0.992	0.0
MPN_RS03730	rpsP	P75131		True	no_hit	1.0	0.0
MPN_RS03735	MPN_RS03735	P75130	0.864	True	no_hit	no_hit	0.0
MPN_RS03740	msrB	P75129	0.507	True	48.387	0.887	0.0
MPN_RS03745	MPN_RS03745	P75128	0.659	True	no_hit	0.379	0.0
MPN_RS03750	MPN_RS03750	P75127	0.897	True	no_hit	no_hit	0.0
MPN_RS03755	tuf	P23568	0.623	True	77.419	1.0	0.0
MPN_RS03760	MPN_RS03760	P75125	0.782	False	no_hit	no_hit	0.0
MPN_RS03765	galU	P75124	0.667	True	24.885	0.99	0.3307645252024385
MPN_RS03770	MPN_RS03770	P75123	0.324	False	no_hit	no_hit	0.0
MPN_RS03775	tyrS	P75122	0.425	True	36.071	1.0	0.0
MPN_RS03780	MPN_RS03780	P75121	0.796	True	no_hit	no_hit	0.0
MPN_RS03785	MPN_RS03785			False	no_hit	no_hit	0.0
MPN_RS03790	ftsH	P75120	0.424	True	57.5	0.999	0.0
MPN_RS03795	hpt	P75119	0.194	True	28.758	0.066	0.0517401312005025
MPN_RS03800	MPN_RS03800	P75118	0.347	True	no_hit	no_hit	0.0
MPN_RS03805	MPN_RS03805	P78007	0.453	True	39.048	0.332	0.284090174355687
MPN_RS03810	MPN_RS03810	P75117	0.882	False	no_hit	no_hit	0.0
MPN_RS03815	MPN_RS03815	P75115	0.578	True	34.737	no_hit	0.0
MPN_RS03820	gltX	P75114	0.897	True	44.681	0.126	0.0
MPN_RS03825	rsmA	P75113	0.444	True	32.121	no_hit	0.0
MPN_RS03830	yidC	P75112	0.753	True	no_hit	0.001	0.0
MPN_RS03835	rnpA	P75111	0.761	True	no_hit	no_hit	0.0
MPN_RS03840	rpmH	P78006	0.053	True	no_hit	0.775	0.0
MPN_RS03845	MPN_RS03845	P75110	0.714	True	58.333	0.926	0.0
MPN_RS03850	MPN_RS03850	P75109	0.858	True	no_hit	no_hit	0.0
MPN_RS03855	MPN_RS03855	Q50316	0.353	True	30.392	0.526	0.0
MPN_RS03860	dnaA	Q59549	0.641	True	no_hit	no_hit	0.0
MPN_RS03865	MPN_RS03865	Q50315	0.921	True	no_hit	no_hit	0.0
MPN_RS03870	MPN_RS03870	Q50314	0.495	True	no_hit	no_hit	0.0
